"","playerID","seasons"
"1","aaronha01",23
"2","aasedo01",13
"3","abadfe01",11
"4","abbated01",10
"5","abbotgl01",12
"6","abbotji01",11
"7","abbotku01",10
"8","abbotpa01",12
"9","abernte02",17
"10","abramca01",10
"11","abreubo01",20
"12","accarje01",10
"13","aceveju01",10
"14","ackerji01",12
"15","adairje01",15
"16","adamsba01",19
"17","adamsbo03",15
"18","adamsma01",12
"19","adamsmi03",11
"20","adamssp01",14
"21","adamste01",12
"22","adcocjo01",17
"23","adriaeh01",11
"24","affelje01",15
"25","ageeto01",13
"26","agostju01",15
"27","aguaylu01",11
"28","aguilje01",11
"29","aguilri01",19
"30","aguirha01",16
"31","ainsmed01",17
"32","akerja01",14
"33","alberma01",15
"34","aldremi01",13
"35","aldresc01",12
"36","alexado01",23
"37","alexama02",12
"38","alexape01",21
"39","alfonan01",11
"40","alfoned01",13
"41","alicelu01",13
"42","allenbe01",13
"43","allendi01",15
"44","allenet01",15
"45","allenjo02",15
"46","allenne01",14
"47","alleyge01",11
"48","allisbo01",13
"49","allisdo01",12
"50","almadme01",10
"51","almonab01",12
"52","almonbi01",17
"53","alomaro01",19
"54","alomasa01",18
"55","alomasa02",22
"56","alonsyo01",12
"57","aloufe01",19
"58","alouje01",16
"59","alouma01",17
"60","aloumo01",18
"61","altroni01",21
"62","altuvjo01",12
"63","alvarjo02",10
"64","alvarlu01",12
"65","alvarwi01",15
"66","amalfjo01",10
"67","amarari01",10
"68","amaroru01",11
"69","amesre01",20
"70","amezaal01",11
"71","anderbr01",16
"72","anderbr02",14
"73","anderbr04",14
"74","anderda02",10
"75","anderga01",17
"76","anderjo01",17
"77","anderla02",19
"78","anderma02",14
"79","andinro01",10
"80","andreiv01",10
"81","andruel01",15
"82","andujjo01",14
"83","ankieri01",13
"84","ansonca01",27
"85","anthoer01",10
"86","antonjo02",13
"87","aparilu01",18
"88","appieke01",18
"89","applepe01",17
"90","applilu01",20
"91","aquinlu01",10
"92","archech01",11
"93","archeji01",14
"94","arenano01",10
"95","ariasal01",11
"96","armasto01",14
"97","armasto02",10
"98","armstsh01",11
"99","arrieja01",14
"100","arrigge01",11
"101","arroybr01",16
"102","ashburi01",15
"103","ashbyal01",17
"104","ashbyan01",16
"105","asprobo01",13
"106","asproke01",11
"107","assenpa01",16
"108","astacpe01",18
"109","astrojo01",10
"110","auerbri01",11
"111","augusje01",10
"112","aukerel01",10
"113","aurilri01",16
"114","ausmubr01",19
"115","austiji01",18
"116","averiea01",14
"117","averyst01",11
"118","avilaal01",14
"119","avilabo01",13
"120","avilalu01",12
