"","WAR"
"maddoga01",36.8
"madlobi01",38.2
"mageesh01",59.4
"mantlmi01",110.2
"manushe01",48
"maranra01",43.9
"marioma01",31.9
"marisro01",38.2
"martibi02",3
"martied01",68.4
"martipe01",21.9
"martiti02",29
"matheed01",96.1
"matsuhi01",21.2
"matthga01",30.4
"mattido01",42.4
"maxvida01",7.6
"maybejo01",25
"mayle01",27.3
"mayswi01",156.1
"mazerbi01",36.5
"mcbriba01",22.6
"mccarti01",28.3
"mccorfr01",31.9
"mccovwi01",64.5
"mcdougi01",40.6
"mcgeewi01",34.2
"mcgrifr01",52.6
"mcgwima01",62.1
"mcinnst01",34.6
"mcmilro01",25.8
"mcraeha01",27.9
"medwijo01",54.5
"millafe01",17.6
"minosmi01",53.8
"mitchke01",29.1
"mizejo01",70.7
"molitpa01",75.6
"mondera01",29.5
"montawi01",1.6
"moonwa01",24.9
"moorejo02",18.9
"morame01",28.2
"morgajo02",100.4
"morneju01",27
"moseswa01",36.5
"mostijo01",24.2
"muellbi02",23.9
"munsoth01",46.1
"murcebo01",32
"murphda05",46.5
"murraed02",68.7
"musiast01",128.6
"nettlgr01",68
"nichobi01",41.8
"odoulle01",41.8
"ofarrbo01",41.8
"oglivbe01",26.4
"olerujo01",58.2
"olivato01",43
"oliveal01",43.7
"oneilst01",43.7
"ordonma01",38.8
"ortizda01",55.3
"otisam01",42.8
"ottme01",110.8
"pafkoan01",36.8
"palmera01",71.9
"parkeda01",40.1
"parrila02",39.6
"paskedo01",24.7
"peckiro01",45.2
"penaca01",25.5
"penato01",24.7
"pendlte01",28.4
"pepitjo01",9.8
"perezto01",54
"perkicy01",11.8
"peskyjo01",34.3
"petrori01",39.1
"piazzmi01",59.5
"pierzaj01",59.5
"pinielo01",12.4
"pinsova01",54.2
"pippwa01",31.7
"polanpl01",41.9
"porteda02",40.9
"posadjo01",42.7
"powelbo01",39.1
"powervi01",15.3
"puckeki01",51.2
"raderdo02",24.3
"raineti01",69.4
"ramirar01",32.4
"ramirma02",69.3
"randowi01",65.9
"rayjo01",24.2
"reesepe01",68.4
"reisepe01",24.5
"renteed01",32.4
"riceji01",47.7
"ricesa01",54.4
"richabo01",8.1
"ripkeca01",95.9
"rivermi01",32.7
"rizzuph01",42.2
"roberbr01",29.5
"roberda01",10.5
"robinbr01",78.5
"robinfr02",107.2
"robinja02",63.8
"rodrial01",117.6
"rodriiv01",68.7
"rojasco01",9.1
"rolensc01",70.1
"rolfere01",29.1
"rolliji01",47.6
"rosepe01",79.6
"roushed01",45.6
"rudijo01",25.5
"ruelmu01",20.9
"russebi01",31.4
"ruthba01",162.7
"salmoti01",40.5
"samueju01",17
"sandbry01",68
"sandere02",39.8
"sanguma01",27.5
"santibe01",27.4
"santoro01",70.5
"sauerha01",25.1
"saxst01",25.7
"schalra01",33.2
"schanwa01",47.9
"schmimi01",106.8
"schoere01",44.5
"schulfr01",23.7
"scottev01",16.5
"scottge02",36.6
"seweljo01",54.7
"sheffga01",60.5
"sierrru01",16.8
"sievero01",25.5
"simmoal01",68.2
"simmote01",50.3
"singlke01",41.8
"sislege01",54.8
"slaugen01",57.8
"smithea02",12.1
"smithlo01",38.5
"smithoz01",76.9
"smithre06",64.5
"snidedu01",65.9
"snowjt01",65.9
"soriaal01",28.6
"sosasa01",58.6
"speaktr01",134.8
"speiech01",30.6
"spencji01",2.7
"stanked01",41.4
"stanlmi01",17.3
"stargwi01",57.5
"staubru01",45.8
"steinte01",28
"strawda01",42.2
"streega01",6.4
"suhrgu01",22.3
"sullibi03",8.8
"sundbji01",40.5
"sweenmi01",24.8
"tebbebi01",3.9
"teixema01",50.6
"tejadmi01",47.1
"templga01",27.8
"tenacge01",46.8
"tennefr02",44
"terrybi01",56.5
"tettlmi01",29.3
"thomafr04",73.8
"thomago01",19.8
"thomair01",8.2
"thomeji01",73.1
"thompro01",33.8
"thornan01",24.1
"tolanbo01",10.1
"torrejo01",57.5
"trammal01",70.7
"traynpi01",38.5
"trillma01",11.2
"valenel01",17.1
"vanslan01",41.3
"varitja01",24.2
"vaughar01",78
"vaughgr01",30.9
"vaughmo01",27.1
"venturo01",56.1
"vernomi01",35.6
"victosh01",31.5
"virdobi01",19.7
"vizquom01",45.6
"wagneho01",130.8
"walkedi02",44.9
"walkela01",72.7
"wallabo01",70.3
"wallati01",38.5
"wanerll01",29.6
"wanerpa01",74.7
"weisswa01",16.5
"wellsve01",28.6
"werbebi01",26.1
"wertzvi01",27.1
"westsa01",32.6
"wheatza01",60.5
"whitalo01",75.1
"whitede03",47.3
"whitefr01",34.8
"willibe02",49.6
"willibi01",63.6
"willicy01",37.5
"willima04",46.6
"willite01",122
"willsma01",39.6
"wilsoha01",38.7
"wilsoji01",11.3
"wilsowi02",46.2
"winfida01",64.2
"wrighgl01",25.3
"wynnji01",55.7
"yastrca01",96.5
"yeagest01",17.9
"yorkru01",31.7
"youklke01",32.4
"younger01",18.8
"youngmi02",24.7
"youngro01",32.7
"yountro01",77.4
"ziskri01",25
