"","playerID","Player","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","PrimaryTeam","PrimaryLg","all_star","gold_glove","lou_gehrig_memorial_award","most_valuable_player","tsn_player_of_the_year","hutch_award","silver_slugger","hank_aaron_award","rookie_of_the_year","baseball_magazine_all_star","tsn_major_league_player_of_the_year","alcs_mvp","all_star_game_mvp","babe_ruth_award","nlcs_mvp","roberto_clemente_award","world_series_mvp","comeback_player_of_the_year","branch_rickey_award","triple_crown","outstanding_dh_award","wein","votedBy","AVG","OBP","1B","SLG","Steroids","nice_guy_awards","war","all_stars","Pos"
"19","ansonca01","Cap Anson",2524,10281,1999,3435,582,142,97,2075,NA,NA,984,330,NA,NA,NA,NA,NA,"CHN","NL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Old Timers",0.334,NA,2614,0.447,"0",0,94.4,0,"1B"
"20","aparilu01","Luis Aparicio",2601,10230,1335,2677,394,92,83,791,506,136,736,742,22,27,161,76,184,"CHA","AL",15,9,0,0,0,0,0,0,"1",0,0,0,0,0,0,0,0,0,0,0,NA,"1","BBWAA",0.262,0.306,2108,0.343,"0",0,55.9,13,"SS"
"21","applilu01","Luke Appling",2422,8856,1319,2749,440,102,45,1116,179,108,1302,528,NA,11,74,NA,NA,"CHA","AL",7,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"1","BBWAA",0.31,0.397,2162,0.398,"0",0,77.6,7,"SS"
"22","archeji01","Jimmy Archer",847,2646,246,660,106,34,16,296,36,NA,124,283,NA,19,93,NA,NA,"CHN","NL",9,0,0,0,0,0,0,0,"0",9,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.249,0.279,504,0.333,"0",0,10.3,0,"C"
"23","ashburi01","Richie Ashburn",2189,8365,1322,2574,317,109,29,586,234,NA,1198,571,NA,43,112,NA,83,"PHI","NL",5,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"1","Veterans",0.308,0.393,2119,0.382,"0",0,64.2,6,"CF"
"24","aurilri01","Rich Aurilia",1652,5721,745,1576,301,22,186,756,23,18,450,861,22,24,36,47,140,"SFN","NL",1,0,0,0,0,0,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.275,0.327,1067,0.433,"0",0,18.2,1,"SS"
"25","ausmubr01","Brad Ausmus",1971,6279,718,1579,270,34,80,607,102,53,634,1034,69,69,82,37,201,"HOU","NL",1,3,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.251,0.321,1195,0.344,"0",0,16.5,1,"C"
"26","austiji01","Jimmy Austin",1580,5388,661,1328,174,76,13,390,244,NA,592,NA,NA,44,278,NA,NA,"SLA","AL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0.246,0.312,1065,0.314,"0",0,22.8,0,"3B"
"27","averiea01","Earl Averill",1668,6353,1224,2019,401,128,238,1164,70,NA,774,518,NA,33,55,NA,NA,"CLE","AL",10,0,0,0,0,0,0,0,"0",4,0,0,0,0,0,0,0,0,0,0,NA,"1","Veterans",0.318,0.392,1252,0.534,"0",0,51.5,6,"CF"
"28","baergca01","Carlos Baerga",1630,5439,731,1583,279,17,134,774,59,24,291,580,41,73,26,66,158,"CLE","AL",3,0,0,0,0,0,2,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.291,0.33,1153,0.423,"0",0,19.6,3,"2B"
"29","bagweje01","Jeff Bagwell",2150,7797,1517,2314,488,32,449,1529,202,78,1401,1558,155,128,3,102,221,"HOU","NL",4,1,0,1,0,0,3,0,"1",0,1,0,0,0,0,0,0,0,0,0,NA,"1","BBWAA",0.297,0.407,1345,0.54,"0",0,79.9,4,"1B"
"30","bailebo01","Bob Bailey",1931,6082,772,1564,234,43,189,773,85,83,852,1126,67,17,40,52,195,"MON","NL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0.257,0.345,1098,0.403,"0",0,28.7,0,"3B"
"31","bailobo01","Bob Bailor",955,2937,339,775,107,23,9,222,90,36,187,164,10,20,42,20,51,"TOR","AL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0.264,0.306,636,0.325,"0",0,8.9,0,"RF"
"32","baineha01","Harold Baines",2830,9908,1299,2866,488,49,384,1628,34,34,1062,1441,187,14,9,99,298,"CHA","AL",6,0,0,0,0,0,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"1","Veterans",0.289,0.355,1945,0.465,"0",0,38.8,6,"DH"
"33","bakerdu01","Dusty Baker",2039,7117,964,1981,320,23,242,1013,137,73,762,926,52,30,27,85,158,"ATL","NL",2,1,0,0,0,0,2,0,"0",0,0,0,0,0,1,0,0,0,0,0,NA,"0","BBWAA",0.278,0.346,1396,0.432,"0",0,37,2,"LF"
"34","bakerfr01","Home Run Baker",1575,5984,887,1838,315,103,96,987,235,NA,473,NA,NA,50,153,NA,NA,"PHA","AL",7,0,0,0,0,0,0,0,"0",7,0,0,0,0,0,0,0,0,0,0,NA,"1","Veterans",0.307,0.355,1324,0.442,"0",0,62.8,0,"3B"
"35","bancrda01","Dave Bancroft",1913,7182,1048,2004,320,77,32,591,145,NA,827,487,NA,23,212,NA,NA,"PHI","NL",8,0,0,0,0,0,0,0,"0",8,0,0,0,0,0,0,0,0,0,0,NA,"1","Veterans",0.279,0.346,1575,0.358,"0",0,49.7,0,"SS"
"36","bandosa01","Sal Bando",2019,7060,982,1790,289,38,242,1039,75,46,1031,923,69,75,65,57,149,"OAK","AL",4,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.254,0.349,1221,0.408,"0",0,61.5,4,"3B"
"37","bankser01","Ernie Banks",2528,9421,1305,2583,407,90,512,1636,50,53,763,1236,NA,70,45,NA,229,"CHN","NL",14,1,1,2,2,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"1","BBWAA",0.274,0.332,1574,0.5,"0",1,67.7,14,"1B"
"38","barryja01","Jack Barry",1223,4146,532,1009,142,38,10,429,153,NA,396,NA,NA,76,284,NA,NA,"PHA","AL",2,0,0,0,0,0,0,0,"0",2,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.243,0.302,819,0.303,"0",0,25.9,0,"SS"
"39","bartedi01","Dick Bartell",2016,7629,1130,2165,442,71,79,710,109,NA,748,627,NA,97,269,NA,NA,"NY1","NL",3,0,0,0,0,0,0,0,"0",1,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.284,0.344,1573,0.391,"0",0,41.7,2,"SS"
"40","bartobo01","Bob Barton",393,1049,54,237,31,3,9,66,3,6,87,168,18,5,6,6,33,"SFN","NL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0.226,0.285,194,0.287,"0",0,1.7,0,"C"
"41","battijo01","Joe Battin",480,1953,228,439,51,25,3,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,"PT1","AA",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","Veterans",0.225,NA,360,0.281,"0",0,6.4,0,"3B"
"42","bauerha01","Hank Bauer",1544,5145,833,1424,229,57,164,703,50,33,521,638,NA,34,51,NA,95,"NYA","AL",3,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.277,0.344,974,0.439,"0",0,27.2,3,"RF"
"43","bayja01","Jason Bay",1278,4505,737,1200,240,30,222,754,95,17,636,1216,38,56,7,54,84,"PIT","NL",3,0,0,0,0,0,1,0,"1",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.266,0.36,708,0.481,"0",0,24.8,3,"LF"
"44","baylodo01","Don Baylor",2292,8198,1236,2135,366,28,338,1276,285,120,805,1069,91,267,16,115,196,"BAL","AL",1,0,0,1,1,0,3,0,"0",0,0,0,0,0,0,1,0,0,0,0,NA,"0","BBWAA",0.26,0.341,1403,0.436,"0",1,28.5,1,"DH"
"45","beaucji01","Jim Beauchamp",393,661,79,153,18,4,14,90,6,5,54,150,6,3,0,12,11,"HOU","NL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0.231,0.288,117,0.334,"0",0,-1.4,0,"1B"
"46","beckegl01","Glenn Beckert",1320,5208,685,1473,196,31,22,360,49,25,260,243,3,19,58,27,114,"CHN","NL",4,1,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.283,0.314,1224,0.345,"0",0,15.6,4,"2B"
"47","belanma01","Mark Belanger",2016,5784,676,1316,175,33,20,389,167,75,576,839,22,42,155,45,83,"BAL","AL",1,8,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.228,0.293,1088,0.28,"0",0,41,1,"SS"
