"","Player","Team","Date announced","Drug","Penalty","Position","Response","Ref.",""
"62","David Paulino","Houston Astros","July 1, 2017","Boldenone","80 games","P","","[95]",NA
"63","Jorge Bonifacio","Kansas City Royals","March 10, 2018","Boldenone","80 games","OF","","[96]",NA
"64","Jorge Polanco","Minnesota Twins","March 18, 2018","Stanozolol","80 games","SS","","[97]",NA
"65","Robinson Cano SS GG","Seattle Mariners","May 15, 2018","Furosemide[as]","80 games","2B","[at]","[98]",NA
"66","Welington Castillo","Chicago White Sox","May 24, 2018","Erythropoietin","80 games","C","","[99]",NA
"67","Steven Wright","Boston Red Sox","March 6, 2019","GHRP-2","80 games","P","","[100]",NA
"68","Francis Martes","Houston Astros","March 19, 2019","Clomiphene","80 games","P","","[101]",NA
"69","Frankie Montas","Oakland Athletics","June 21, 2019","Ostarine","80 games","P","","[102][103]",NA
"70","Tim Beckham","Seattle Mariners","August 6, 2019","Stanozolol","80 games","SS","[au]","[104]",NA
"71","Michael Pineda","Minnesota Twins","September 7, 2019","Hydrochlorothiazide","60 games[E]","P","[av]","[106]",NA
"72","Francis Martes (2)","Houston Astros","February 17, 2020","Boldenone","162 games","P","","[107]",NA
"73","Robinson Cano (2) SS GG","New York Mets","November 18, 2020","Stanozolol","162 games","2B","","[108]",NA
"74","Paul Campbell","Miami Marlins","May 3, 2021","CDMT","80 games","P","","[109]",NA
"75","Gregory Santos","San Francisco Giants","June 29, 2021","Stanozolol","80 games","P","","[110]",NA
"76","Hector Santiago","Seattle Mariners","July 29, 2021","Testosterone","80 games","P","[aw]","[111]",NA
"77","Ramón Laureano","Oakland Athletics","August 7, 2021","Nandrolone","80 games","OF","[ax]","[112]",NA
"78","Pedro Severino","Milwaukee Brewers","April 5, 2022","Clomiphene","80 games","C","[ay]","[113]",NA
"79","J.C. Mejía","Milwaukee Brewers","May 17, 2022","Stanozolol","80 games","P","","[114]",NA
"80","Fernando Tatís Jr. SS","San Diego Padres","August 12, 2022","Clostebol","80 games","SS","[az]","[116]",NA
