"","Player","birthCountry","playerID","MedianIP","weight","height","throws","Censored","PrimaryPitch","numDaysUntilTJ","Fast_Off"
"747","Ryan Meisinger","USA","meisiry01",7.3,235,76,"R","Censored","Slider",NA,"Offspeed"
"748","Ryan Merritt","USA","merriry01",15.85,170,72,"L","Censored","Cutter",NA,"Fastball"
"749","Ryan Pepiot","USA","pepiory01",36.3,215,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"750","Ryan Pressly","USA","pressry01",48.3,206,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"751","Ryan Sherriff","USA","sherrry01",12,190,73,"L","Non-Censored","Sinker",284,"Fastball"
"752","Ryan Tepera","USA","teperry01",33,195,73,"R","Non-Censored","4seamFastball",NA,"Fastball"
"753","Ryan Weathers","USA","weathry01",49.2,230,73,"L","Censored","4seamFastball",NA,"Fastball"
"754","Ryan Weber","USA","weberry01",8.2,175,73,"R","Non-Censored","Sinker",NA,"Fastball"
"755","Ryan Yarbrough","USA","yarbrry01",141.7,205,77,"L","Non-Censored","Cutter",NA,"Fastball"
"756","Ryne Harper","USA","harpery01",35.7,217,75,"R","Censored","Curveball",NA,"Offspeed"
"757","Ryne Nelson","USA","nelsory01",18.3,184,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"758","Ryne Stanek","USA","stanery01",54.7,226,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"759","Sal Romano","USA","romansa01",16.3,255,77,"R","Censored","Sinker",NA,"Fastball"
"760","Sam Clay","USA","claysa01",4.3,238,75,"L","Censored","Sinker",NA,"Fastball"
"761","Sam Freeman","USA","freemsa01",20,180,71,"L","Non-Censored","4seamFastball",3001,"Fastball"
"762","Sam Gaviglio","USA","gavigsa01",62.3,215,73,"R","Censored","Sinker",NA,"Fastball"
"763","Sam Howard","USA","howarsa01",19,195,76,"L","Censored","Slider",NA,"Offspeed"
"764","Sam Long","USA","longsa01",41.5,185,73,"L","Censored","4seamFastball",NA,"Fastball"
"765","Sam Moll","USA","mollsa01",10.3,190,69,"L","Non-Censored","Slider",NA,"Offspeed"
"766","Sam Selman","USA","selmasa01",17,198,74,"L","Non-Censored","Slider",NA,"Offspeed"
"767","Sam Tuivailala","USA","tuivasa01",14.7,230,75,"R","Censored","4seamFastball",NA,"Fastball"
"768","Sandy Alcantara","D.R.","alcansa01",119.65,200,77,"R","Non-Censored","Sinker",NA,"Fastball"
"769","Santiago Casilla","D.R.","garcija01",50.7,210,72,"R","Censored","Sinker",NA,"Fastball"
"770","Scott Alexander","USA","alexasc01",17.3,195,74,"L","Non-Censored","Sinker",NA,"Fastball"
"771","Scott Effross","USA","effrosc01",14.7,202,74,"R","Non-Censored","Slider",398,"Offspeed"
"772","Sean Doolittle","USA","doolise01",38.3,227,74,"L","Censored","4seamFastball",NA,"Fastball"
"773","Sean Gilmartin","USA","gilmase01",11,205,74,"L","Censored","Slider",NA,"Offspeed"
"774","Sean Guenther","USA","guentse01",20.3,194,71,"L","Non-Censored","4seamFastball",246,"Fastball"
"775","Sean Hjelle","USA","hjellse01",25,228,83,"R","Non-Censored","Sinker",NA,"Fastball"
"776","Sean Manaea","USA","manaese01",158,245,77,"L","Non-Censored","Sinker",NA,"Fastball"
"777","Sean Newcomb","USA","newcose01",32.3,255,77,"L","Non-Censored","4seamFastball",NA,"Fastball"
"778","Sean Nolin","USA","nolinse01",14,250,76,"L","Non-Censored","4seamFastball",1165,"Fastball"
"779","Sean Poppen","USA","poppese01",8,210,75,"R","Non-Censored","Sinker",NA,"Fastball"
"780","Sean Reid-Foley","Guam","reidfse01",20.7,235,74,"R","Non-Censored","4seamFastball",1367,"Fastball"
"781","Sergio Romo","USA","romose01",35.85,185,71,"R","Censored","Slider",NA,"Offspeed"
