"","playerID","seasons"
"1","aasedo01",13
"2","abadfe01",11
"3","abbotgl01",12
"4","abbotji01",11
"5","abbotpa01",12
"6","abernte02",17
"7","accarje01",10
"8","aceveju01",10
"9","ackerji01",12
"10","adamsba01",19
"11","adamsmi03",11
"12","adamste01",12
"13","affelje01",15
"14","agostju01",15
"15","aguilri01",19
"16","aguirha01",16
"17","akerja01",14
"18","alberma01",15
"19","aldresc01",12
"20","alexado01",23
"21","alexape01",21
"22","alfonan01",11
"23","allenjo02",15
"24","allenne01",14
"25","altroni01",18
"26","alvarjo02",10
"27","alvarwi01",15
"28","amesre01",20
"29","anderbr02",14
"30","anderbr04",14
"31","anderla02",19
"32","andreiv01",10
"33","andujjo01",14
"34","antonjo02",13
"35","appieke01",18
"36","applepe01",17
"37","aquinlu01",10
"38","archech01",11
"39","armasto02",10
"40","armstsh01",11
"41","arrieja01",14
"42","arrigge01",11
"43","arroybr01",16
"44","ashbyan01",16
"45","assenpa01",16
"46","astacpe01",18
"47","augusje01",10
"48","aukerel01",10
"49","averyst01",11
"50","avilalu01",12
"51","axforjo01",14
"52","ayalalu01",12
"53","aybarma01",10
"54","ayersdo01",10
"55","baezda01",11
"56","bagbyji02",10
"57","bahnsst01",19
"58","bailebi01",12
"59","baileho02",15
"60","bairdo01",18
"61","bakersc02",10
"62","baldwja01",14
"63","balfogr01",13
"64","bankhsc01",10
"65","bankswi01",12
"66","bannifl01",15
"67","barbest01",18
"68","barkele01",12
"69","barneja01",10
"70","barneje01",14
"71","barnevi01",10
"72","barrere01",12
"73","barrji01",12
"74","bassan01",12
"75","bastaan01",10
"76","batismi01",21
"77","bauertr01",11
"78","baumafr01",11
"79","bautide01",10
"80","bautijo01",10
"81","beckbo01",13
"82","beckejo02",15
"83","beckro01",14
"84","bedarer01",12
"85","bedroca01",10
"86","bedrost01",15
"87","beggsjo01",10
"88","beimejo01",14
"89","belchti01",15
"90","belinst01",14
"91","belisma01",16
"92","bellga01",14
"93","bellhe01",11
"94","bendech01",16
"95","benesan01",15
