"","x","y","eligible","inducted"
"290",90,3,1,0
"291",91,3,1,0
"292",92,3,1,0
"293",93,3,1,0
"294",94,3,1,0
"295",95,3,1,0
"296",96,3,1,0
"297",97,3,1,0
"298",98,3,1,0
"299",99,3,1,0
"300",100,3,1,0
"301",1,4,1,0
"302",2,4,1,0
"303",3,4,1,0
"304",4,4,1,0
"305",5,4,1,0
"306",6,4,1,0
"307",7,4,1,0
"308",8,4,1,0
"309",9,4,1,0
"310",10,4,1,0
"311",11,4,1,0
"312",12,4,1,0
"313",13,4,1,0
"314",14,4,1,0
"315",15,4,1,0
"316",16,4,1,0
"317",17,4,1,0
"318",18,4,1,0
"319",19,4,1,0
"320",20,4,1,0
"321",21,4,1,0
"322",22,4,1,0
"323",23,4,1,0
"324",24,4,1,0
"325",25,4,1,0
"326",26,4,1,0
"327",27,4,1,0
"328",28,4,1,0
"329",29,4,1,0
"330",30,4,1,0
"331",31,4,1,0
"332",32,4,1,0
"333",33,4,1,0
"334",34,4,1,0
"335",35,4,1,0
"336",36,4,1,0
"337",37,4,1,0
"338",38,4,1,0
"339",39,4,1,0
"340",40,4,1,0
"341",41,4,1,0
"342",42,4,1,0
"343",43,4,1,0
"344",44,4,1,0
"345",45,4,1,0
"346",46,4,1,0
"347",47,4,1,0
"348",48,4,1,0
"349",49,4,1,0
"350",50,4,1,0
"351",51,4,1,0
"352",52,4,1,0
"353",53,4,1,0
"354",54,4,1,0
"355",55,4,1,0
"356",56,4,1,0
"357",57,4,1,0
"358",58,4,1,0
"359",59,4,1,0
"360",60,4,1,0
"361",61,4,1,0
"362",62,4,1,0
"363",63,4,1,0
"364",64,4,1,0
"365",65,4,1,0
"366",66,4,1,0
"367",67,4,1,0
"368",68,4,1,0
"369",69,4,1,0
"370",70,4,1,0
"371",71,4,1,0
"372",72,4,1,0
"373",73,4,1,0
"374",74,4,1,0
"375",75,4,1,0
"376",76,4,1,0
"377",77,4,1,0
"378",78,4,1,0
"379",79,4,1,0
"380",80,4,1,0
"381",81,4,1,0
"382",82,4,1,0
"383",83,4,1,0
"384",84,4,1,0
"385",85,4,1,0
"386",86,4,1,0
"387",87,4,1,0
"388",88,4,1,0
"389",89,4,1,0
"390",90,4,1,0
"391",91,4,1,0
"392",92,4,1,0
"393",93,4,1,0
"394",94,4,1,0
"395",95,4,1,0
"396",96,4,1,0
"397",97,4,1,0
"398",98,4,1,0
"399",99,4,1,0
"400",100,4,1,0
"401",1,5,1,0
"402",2,5,1,0
"403",3,5,1,0
"404",4,5,1,0
"405",5,5,1,0
"406",6,5,1,0
"407",7,5,1,0
"408",8,5,1,0
"409",9,5,1,0
"410",10,5,1,0
"411",11,5,1,0
"412",12,5,1,0
"413",13,5,1,0
"414",14,5,1,0
"415",15,5,1,0
"416",16,5,1,0
"417",17,5,1,0
"418",18,5,1,0
"419",19,5,1,0
"420",20,5,1,0
"421",21,5,1,0
"422",22,5,1,0
"423",23,5,1,0
"424",24,5,1,0
"425",25,5,1,0
"426",26,5,1,0
"427",27,5,1,0
"428",28,5,1,0
"429",29,5,1,0
"430",30,5,1,0
"431",31,5,1,0
"432",32,5,1,0
"433",33,5,1,0
"434",34,5,1,0
"435",35,5,1,0
"436",36,5,1,0
"437",37,5,1,0
"438",38,5,1,0
"439",39,5,1,0
"440",40,5,1,0
"441",41,5,1,0
"442",42,5,1,0
"443",43,5,1,0
"444",44,5,1,0
"445",45,5,1,0
"446",46,5,1,0
"447",47,5,1,0
"448",48,5,1,0
"449",49,5,1,0
"450",50,5,1,0
"451",51,5,1,0
"452",52,5,1,0
"453",53,5,1,0
"454",54,5,1,0
"455",55,5,1,0
"456",56,5,1,0
"457",57,5,1,0
"458",58,5,1,0
"459",59,5,1,0
"460",60,5,1,0
"461",61,5,1,0
"462",62,5,1,0
"463",63,5,1,0
"464",64,5,1,0
"465",65,5,1,0
"466",66,5,1,0
"467",67,5,1,0
"468",68,5,1,0
"469",69,5,1,0
"470",70,5,1,0
"471",71,5,1,0
"472",72,5,1,0
"473",73,5,1,0
"474",74,5,1,0
"475",75,5,1,0
"476",76,5,1,0
"477",77,5,1,0
"478",78,5,1,0
"479",79,5,1,0
"480",80,5,1,0
"481",81,5,1,0
"482",82,5,1,0
"483",83,5,1,0
"484",84,5,1,0
"485",85,5,1,0
"486",86,5,1,0
"487",87,5,1,0
"488",88,5,1,0
"489",89,5,1,0
"490",90,5,1,0
"491",91,5,1,0
"492",92,5,1,0
"493",93,5,1,0
"494",94,5,1,0
"495",95,5,1,0
"496",96,5,1,0
"497",97,5,1,0
"498",98,5,1,0
"499",99,5,1,0
"500",100,5,1,0
"501",1,6,1,0
"502",2,6,1,0
"503",3,6,1,0
"504",4,6,1,0
"505",5,6,1,0
"506",6,6,1,0
"507",7,6,1,0
"508",8,6,1,0
"509",9,6,1,0
"510",10,6,1,0
"511",11,6,1,0
"512",12,6,1,0
"513",13,6,1,0
"514",14,6,1,0
"515",15,6,1,0
"516",16,6,1,0
"517",17,6,1,0
"518",18,6,1,0
"519",19,6,1,0
"520",20,6,1,0
"521",21,6,1,0
"522",22,6,1,0
"523",23,6,1,0
"524",24,6,1,0
"525",25,6,1,0
"526",26,6,1,0
"527",27,6,1,0
"528",28,6,1,0
"529",29,6,1,0
"530",30,6,1,0
"531",31,6,1,0
"532",32,6,1,0
"533",33,6,1,0
"534",34,6,1,0
"535",35,6,1,0
"536",36,6,1,0
"537",37,6,1,0
"538",38,6,1,0
"539",39,6,1,0
"540",40,6,1,0
"541",41,6,1,0
"542",42,6,1,0
"543",43,6,1,0
"544",44,6,1,0
"545",45,6,1,0
"546",46,6,1,0
"547",47,6,1,0
"548",48,6,1,0
"549",49,6,1,0
"550",50,6,1,0
"551",51,6,1,0
"552",52,6,1,0
"553",53,6,1,0
"554",54,6,1,0
"555",55,6,1,0
"556",56,6,1,0
"557",57,6,1,0
"558",58,6,1,0
"559",59,6,1,0
"560",60,6,1,0
"561",61,6,1,0
"562",62,6,1,0
"563",63,6,1,0
"564",64,6,1,0
"565",65,6,1,0
"566",66,6,1,0
"567",67,6,1,0
"568",68,6,1,0
"569",69,6,1,0
"570",70,6,1,0
"571",71,6,1,0
"572",72,6,1,0
"573",73,6,1,0
"574",74,6,1,0
"575",75,6,1,0
"576",76,6,1,0
"577",77,6,1,0
"578",78,6,1,0
"579",79,6,1,0
"580",80,6,1,0
"581",81,6,1,0
"582",82,6,1,0
"583",83,6,1,0
"584",84,6,1,0
"585",85,6,1,0
"586",86,6,1,0
"587",87,6,1,0
"588",88,6,1,0
"589",89,6,1,0
"590",90,6,1,0
"591",91,6,1,0
"592",92,6,1,0
"593",93,6,1,0
"594",94,6,1,0
"595",95,6,1,0
"596",96,6,1,0
"597",97,6,1,0
"598",98,6,1,0
"599",99,6,1,0
"600",100,6,1,0
"601",1,7,1,0
"602",2,7,1,0
"603",3,7,1,0
"604",4,7,1,0
"605",5,7,1,0
"606",6,7,1,0
"607",7,7,1,0
"608",8,7,1,0
"609",9,7,1,0
"610",10,7,1,0
"611",11,7,1,0
"612",12,7,1,0
"613",13,7,1,0
"614",14,7,1,0
"615",15,7,1,0
"616",16,7,1,0
"617",17,7,1,0
"618",18,7,1,0
"619",19,7,1,0
"620",20,7,1,0
"621",21,7,1,0
"622",22,7,1,0
"623",23,7,1,0
"624",24,7,1,0
"625",25,7,1,0
"626",26,7,1,0
"627",27,7,1,0
"628",28,7,1,0
"629",29,7,1,0
"630",30,7,1,0
"631",31,7,1,0
"632",32,7,1,0
"633",33,7,1,0
"634",34,7,1,0
"635",35,7,1,0
"636",36,7,1,0
"637",37,7,1,0
"638",38,7,1,0
"639",39,7,1,0
"640",40,7,1,0
"641",41,7,1,0
"642",42,7,1,0
"643",43,7,1,0
"644",44,7,1,0
"645",45,7,1,0
"646",46,7,1,0
"647",47,7,1,0
"648",48,7,1,0
"649",49,7,1,0
"650",50,7,1,0
"651",51,7,1,0
"652",52,7,1,0
"653",53,7,1,0
"654",54,7,1,0
"655",55,7,1,0
"656",56,7,1,0
"657",57,7,1,0
"658",58,7,1,0
"659",59,7,1,0
"660",60,7,1,0
"661",61,7,1,0
"662",62,7,1,0
"663",63,7,1,0
"664",64,7,1,0
"665",65,7,1,0
"666",66,7,1,0
"667",67,7,1,0
"668",68,7,1,0
"669",69,7,1,0
"670",70,7,1,0
"671",71,7,1,0
"672",72,7,1,0
"673",73,7,1,0
"674",74,7,1,0
"675",75,7,1,0
"676",76,7,1,0
"677",77,7,1,0
"678",78,7,1,0
"679",79,7,1,0
"680",80,7,1,0
"681",81,7,1,0
"682",82,7,1,0
"683",83,7,1,0
"684",84,7,1,0
"685",85,7,1,0
"686",86,7,1,0
"687",87,7,1,0
"688",88,7,1,0
"689",89,7,1,0
"690",90,7,1,0
"691",91,7,1,0
"692",92,7,1,0
"693",93,7,1,0
"694",94,7,1,0
"695",95,7,1,0
"696",96,7,1,0
"697",97,7,1,0
"698",98,7,1,0
"699",99,7,1,0
